2024-12-01 19:41:57.414 +07:00 [WRN] Failed to determine the https port for redirect.
2024-12-01 19:51:22.233 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.3638 ms
2024-12-01 19:51:22.395 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.3831 ms
2024-12-01 19:51:22.706 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.2626 ms
2024-12-01 19:51:22.890 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 2.8671 ms
2024-12-01 19:51:23.071 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 2.8749 ms
2024-12-01 19:51:23.300 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.3140 ms
2024-12-01 19:51:23.480 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 2.9813 ms
2024-12-01 19:51:23.897 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 3.9776 ms
2024-12-01 19:51:24.291 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 4.1022 ms
2024-12-01 19:54:55.421 +07:00 [INF] Processed POST /api/auth/login. Request Data: No request data provided. Response Data: { AccessToken = eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJuYW1laWQiOiIyIiwiZW1haWwiOiJ1c2VyQGdtYWlsLmNvbSIsInJvbGUiOiJVc2VyIiwibmJmIjoxNzMzMDU3Njk1LCJleHAiOjE3MzMwNjEyOTUsImlhdCI6MTczMzA1NzY5NSwiaXNzIjoidHVhbmZsdXRlMjc1LnNpdGUiLCJhdWQiOiJ0dWFuZmx1dGUifQ.Cn0gZIPdQXzVccu8GjaOclgw0j_MV45MCFafd7sl7T8, RefreshToken = X18UMJHQ1KfZut0uJ05CxQSGI7bQ91FdbNOKw2f5asePLRXYYFdmHxigvjGhHFQovLzzvzNMfVAoCuOx0U8xQA== }
2024-12-01 19:54:55.490 +07:00 [INF] HTTP POST /api/auth/login responded 200 in 726.4248 ms
